----system---- ---load-avg--- ----total-cpu-usage----
  date     time     1m   5m  15m  usr sys idl wai hiq siq
27-01-2012 00:36:34 1.88 1.21 0.99  66  14  20   0   0   0
27-01-2012 00:36:35 1.81 1.21 0.99  55  17  27   0   0   1
27-01-2012 00:36:36 1.81 1.21 0.99  57  21  21   0   0   1
27-01-2012 00:36:37 1.81 1.21 0.99  71  17  12   0   0   0
27-01-2012 00:36:38 1.81 1.21 0.99  61  17  21   0   0   1
27-01-2012 00:36:39 1.81 1.21 0.99  54  14  32   0   0   0
27-01-2012 00:36:40 2.14 1.29 1.01  49  17  34   0   0   0
27-01-2012 00:36:41 2.14 1.29 1.01  60  10  29   0   0   1
27-01-2012 00:36:42 2.14 1.29 1.01  57  43   0   0   0   0
27-01-2012 00:36:43 2.14 1.29 1.01  51  26  22   0   0   1
27-01-2012 00:36:44 2.14 1.29 1.01  59  12  29   0   0   0
27-01-2012 00:36:45 2.13 1.30 1.02  54  16  28   2   0   0
27-01-2012 00:36:46 2.13 1.30 1.02  64  23  13   0   0   0
